Umpire First Name,Umpire Last Name,Ump Full Name,MLB Debut,YOB,
Ryan,Additon,Ryan Additon,2017,1985,-32
David,Arrieta,David Arrieta,2020,1981,-39
Erich,Bacchus,Erich Bacchus,2020,1991,-29
John,Bacon,John Bacon,2019,1984,-35
Jordan,Baker,Jordan Baker,2012,1981,-31
Sean,Barber,Sean Barber,2014,1985,-29
Lance,Barksdale,Lance Barksdale,2014,1967,-47
Lance,Barrett,Lance Barrett,2010,1984,-26
Ted,Barrett,Ted Barrett,1999,1965,-34
Scott,Barry,Scott Barry,2006,1976,-30
Toby,Basner,Toby Basner,2012,1984,-28
Steve,Bavilacqua,Steve Bavilacqua,,,0
Adam,Beck,Adam Beck,2020,1989,-31
Dan,Bellino,Dan Bellino,2008,1978,-30
Ryan,Blakney,Ryan Blakney,2015,1985,-30
Cory,Blaser,Cory Blaser,2010,1981,-29
CB,Bucknor,CB Bucknor,1996,1962,-34
Sam,Burch,Sam Burch,,,0
Vic,Carapazza,Vic Carapazza,2010,1979,-31
Mark,Carlson,Mark Carlson,1999,1969,-30
Gary,Cederstrom,Gary Cederstrom,1989,1955,-34
Nestor,Ceja,Nestor Ceja,2020,1990,-30
Paul,Clemons,Paul Clemons,2020,1990,-30
Chris,Conroy,Chris Conroy,2010,1974,-36
Eric,Cooper,Eric Cooper,1996,1966,-30
Fieldin,Culbreth,Fieldin Culbreth,1993,1963,-30
Phil,Cuzzi,Phil Cuzzi,1991,1955,-36
Kerwin,Danley,Kerwin Danley,1992,1961,-31
Gerry,Davis,Gerry Davis,1982,1953,-29
Ramon,De Jesus,Ramon De Jesus,2016,1983,-33
Dana,DeMuth,Dana DeMuth,1983,1956,-27
Laz,Diaz,Laz Diaz,1995,1963,-32
Mike,DiMuro,Mike DiMuro,1997,1967,-30
Rob,Drake,Rob Drake,1999,1969,-30
Bruce,Dreckman,Bruce Dreckman,1996,1970,-26
Doug,Eddings,Doug Eddings,1998,1968,-30
Paul,Emmel,Paul Emmel,1999,1968,-31
Mike,Estabrook,Mike Estabrook,2006,1976,-30
Mike,Everitt,Mike Everitt,2000,1964,-36
Clint,Fagan,Clint Fagan,2011,1981,-30
Chad,Fairchild,Chad Fairchild,2005,1970,-35
Andy,Fletcher,Andy Fletcher,1999,1966,-33
Marty,Foster,Marty Foster,1996,1963,-33
Reid,Gibbs,Reid Gibbs,,,0
Greg,Gibson,Greg Gibson,1997,1968,-29
Tripp,Gibson,Tripp Gibson,2013,1981,-32
Tripp,Gibson III,Tripp Gibson III,2013,1981,-32
Manny,Gonzalez,Manny Gonzalez,2010,1979,-31
Brian,Gorman,Brian Gorman,1991,1959,-32
Chris,Guccione,Chris Guccione,2000,1974,-26
Tom,Hallion,Tom Hallion,1985,1956,-29
